"Source Name","Program Name",Path,Date/Time,Count,Comment,"Data Source"
"LOOKATHOST.EXE-34BB6F8B.pf",LOOKATHOST.EXE,"/PROGRAM FILES/LOOK@LAN","2004-08-25 17:56:33 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
"LOOKATLAN.EXE-1F991DD9.pf",LOOKATLAN.EXE,"/PROGRAM FILES/LOOK@LAN","2004-08-26 17:06:14 CEST",2,"Prefetch File","4Dell Latitude CPi.E01"
LSASS.EXE-20DB6D1B.pf,LSASS.EXE,,"2004-08-20 00:53:05 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
MIRC.EXE-0661EC22.pf,MIRC.EXE,"/PROGRAM FILES/MIRC","2004-08-25 18:20:34 CEST",3,"Prefetch File","4Dell Latitude CPi.E01"
MIRC612.EXE-02791C37.pf,MIRC612.EXE,,"2004-08-20 17:09:46 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
MSIEXEC.EXE-2F8A8CAE.pf,MSIEXEC.EXE,/WINDOWS/SYSTEM32,"2004-08-20 17:12:05 CEST",3,"Prefetch File","4Dell Latitude CPi.E01"
MSIMN.EXE-38BA891D.pf,MSIMN.EXE,"/PROGRAM FILES/OUTLOOK EXPRESS","2004-08-20 23:13:23 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
MSMSGS.EXE-2B6052DE.pf,MSMSGS.EXE,"/PROGRAM FILES/MESSENGER","2004-08-20 01:05:04 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
MSOOBE.EXE-30411B02.pf,MSOOBE.EXE,/WINDOWS/SYSTEM32/OOBE,"2004-08-20 00:53:19 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
MSTINIT.EXE-39813B24.pf,MSTINIT.EXE,/WINDOWS/SYSTEM32,"2004-08-20 01:05:03 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
"NETSTUMBLER.EXE-0BFEE568.pf",NETSTUMBLER.EXE,"/PROGRAM FILES/NETWORK STUMBLER","2004-08-27 17:12:35 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
"NETSTUMBLERINSTALLER_0_4_0.EX-0BD9920C.pf","NETSTUMBLERINSTALLER_0_4_0.EX",,"2004-08-27 17:12:11 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
NOTEPAD.EXE-336351A9.pf,NOTEPAD.EXE,/WINDOWS/SYSTEM32,"2004-08-20 17:50:40 CEST",2,"Prefetch File","4Dell Latitude CPi.E01"
NPF_MGM.EXE-189CE5D1.pf,NPF_MGM.EXE,"/PROGRAM FILES/WINPCAP","2004-08-27 17:15:17 CEST",3,"Prefetch File","4Dell Latitude CPi.E01"
NTOSBOOT-B00DFAAD.pf,NTOSBOOT,,"2004-08-27 17:08:04 CEST",4,"Prefetch File","4Dell Latitude CPi.E01"
PING.EXE-31216D26.pf,PING.EXE,/WINDOWS/SYSTEM32,"2004-08-25 17:23:53 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
"POWERTOYSETUP.EXE-312B2326.pf",POWERTOYSETUP.EXE,"/DOCUMENTS AND SETTINGS/MR. EVIL/LOCAL SETTINGS/TEMP/TEMPORARY DIRECTORY 1 FOR POWERTOYSETUP.ZIP","2004-08-20 17:11:56 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
REGSVR32.EXE-25EEFE2F.pf,REGSVR32.EXE,/WINDOWS/SYSTEM32,"2004-08-20 17:13:06 CEST",3,"Prefetch File","4Dell Latitude CPi.E01"
RUNDLL32.EXE-137CCEC6.pf,RUNDLL32.EXE,/WINDOWS/SYSTEM32,"2004-08-20 01:04:56 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
RUNDLL32.EXE-16B6BC1C.pf,RUNDLL32.EXE,/WINDOWS/SYSTEM32,"2004-08-27 17:31:17 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
RUNDLL32.EXE-18E3301D.pf,RUNDLL32.EXE,/WINDOWS/SYSTEM32,"2004-08-20 01:04:31 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
RUNDLL32.EXE-19076CE2.pf,RUNDLL32.EXE,/WINDOWS/SYSTEM32,"2004-08-20 01:04:32 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
RUNDLL32.EXE-268BFF96.pf,RUNDLL32.EXE,/WINDOWS/SYSTEM32,"2004-08-26 17:05:06 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
RUNDLL32.EXE-26DA8C9B.pf,RUNDLL32.EXE,/WINDOWS/SYSTEM32,"2004-08-20 01:06:21 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
RUNDLL32.EXE-271001B4.pf,RUNDLL32.EXE,/WINDOWS/SYSTEM32,"2004-08-20 01:05:03 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
RUNDLL32.EXE-28A04614.pf,RUNDLL32.EXE,/WINDOWS/SYSTEM32,"2004-08-20 17:25:35 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
RUNDLL32.EXE-2F982821.pf,RUNDLL32.EXE,/WINDOWS/SYSTEM32,"2004-08-20 01:04:18 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
RUNDLL32.EXE-304A2AEA.pf,RUNDLL32.EXE,/WINDOWS/SYSTEM32,"2004-08-20 01:04:18 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
RUNDLL32.EXE-33D7466C.pf,RUNDLL32.EXE,/WINDOWS/SYSTEM32,"2004-08-20 01:04:56 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
RUNDLL32.EXE-35BB92D4.pf,RUNDLL32.EXE,/WINDOWS/SYSTEM32,"2004-08-27 17:14:44 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
RUNDLL32.EXE-445649BB.pf,RUNDLL32.EXE,/WINDOWS/SYSTEM32,"2004-08-20 17:23:18 CEST",2,"Prefetch File","4Dell Latitude CPi.E01"
RUNDLL32.EXE-451FC2C0.pf,RUNDLL32.EXE,/WINDOWS/SYSTEM32,"2004-08-20 17:21:28 CEST",4,"Prefetch File","4Dell Latitude CPi.E01"
RUNDLL32.EXE-46215CAC.pf,RUNDLL32.EXE,/WINDOWS/SYSTEM32,"2004-08-20 17:18:30 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
SETUP.EXE-046E69FA.pf,SETUP.EXE,,"2004-08-20 17:05:00 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
SETUP50.EXE-362FF7C9.pf,SETUP50.EXE,"/PROGRAM FILES/OUTLOOK EXPRESS","2004-08-20 01:04:37 CEST",2,"Prefetch File","4Dell Latitude CPi.E01"
SPOOLSV.EXE-282F76A7.pf,SPOOLSV.EXE,/WINDOWS/SYSTEM32,"2004-08-20 00:52:01 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
SVCHOST.EXE-3530F672.pf,SVCHOST.EXE,,"2004-08-20 00:53:05 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
TASKMGR.EXE-20256C55.pf,TASKMGR.EXE,/WINDOWS/SYSTEM32,"2004-08-27 17:16:15 CEST",2,"Prefetch File","4Dell Latitude CPi.E01"
TELNET.EXE-24182D40.pf,TELNET.EXE,/WINDOWS/SYSTEM32,"2004-08-26 17:05:15 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
"UNINSTALL.EXE-0D9C8DD2.pf",UNINSTALL.EXE,"/PROGRAM FILES/WINPCAP","2004-08-27 17:14:52 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
UNREGMP2.EXE-07CACB61.pf,UNREGMP2.EXE,/WINDOWS/INF,"2004-08-20 01:04:36 CEST",2,"Prefetch File","4Dell Latitude CPi.E01"
USERINIT.EXE-30B18140.pf,USERINIT.EXE,/WINDOWS/SYSTEM32,"2004-08-20 01:04:11 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
WHOIS.EXE-38443FF6.pf,WHOIS.EXE,"/PROGRAM FILES/WHOIS","2004-08-26 17:13:57 CEST",2,"Prefetch File","4Dell Latitude CPi.E01"
WHOIS.EXE-3AFF2064.pf,WHOIS.EXE,,"2004-08-20 17:10:47 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
"WINPCAP_3_01_A.EXE-1E3EDEDC.pf",WINPCAP_3_01_A.EXE,"/DOCUMENTS AND SETTINGS/MR. EVIL/DESKTOP","2004-08-27 17:15:08 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
WINPCA~1.EXE-054DDBB5.pf,WINPCA~1.EXE,/PROGRA~1/CAIN/DRIVER,"2004-08-20 17:06:18 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
WMIADAP.EXE-2DF425B2.pf,WMIADAP.EXE,/WINDOWS/SYSTEM32/WBEM,"2004-08-20 17:23:55 CEST",3,"Prefetch File","4Dell Latitude CPi.E01"
WMIPRVSE.EXE-28F301A9.pf,WMIPRVSE.EXE,/WINDOWS/SYSTEM32/WBEM,"2004-08-26 17:51:45 CEST",4,"Prefetch File","4Dell Latitude CPi.E01"
WORDPAD.EXE-24533991.pf,WORDPAD.EXE,"/PROGRAM FILES/WINDOWS NT/ACCESSORIES","2004-08-20 17:09:16 CEST",1,"Prefetch File","4Dell Latitude CPi.E01"
